Weight    Value     
    33    58        
    51    18        
    15    1         
    98    25        
    55    9         
    46    47        
    54    13        
    14    16        
    86    49        
    93    40        
    20    10        
    38    88        
    88    43        
    26    12        
    48    84        
    40    52        
    36    80        
    83    76        
    67    14        
    27    100       
    89    2         
    96    14        
    21    36        
     7    35        
    67    57        
    58    72        
    52    14        
    74    79        
     2    78        
    36    36        
    46    2         
    94    69        
    94    4         
    16    27        
    20    4         
   100    14        
    25    66        
    30    91        
    39    53        
    25    88        
    81    46        
     6    47        
    90    26        
    85    71        
    37    10        
     7    30        
    54    99        
    71    88        
    79    27        
     8    91        
    90    28        
    80    72        
    35    47        
    52    10        
    92    8         
    67    35        
     6    82        
    70    31        
    27    82        
    52    76        
    40    31        
    41    19        
    95    80        
    25    7         
    65    62        
    75    25        
    87    81        
    53    67        
    15    75        
    82    78        
    45    75        
    67    40        
    85    66        
    51    52        
    97    80        
    29    15        
    94    36        
    92    14        
    69    1         
    33    74        
    37    11        
    63    28        
    52    45        
    80    22        
    86    11        
    82    58        
    17    79        
    65    39        
     4    46        
    91    87        
    54    73        
     6    93        
    60    54        
    13    55        
    45    49        
     7    43        
    55    45        
    90    6         
    43    7         
    30    97        
    87    77        
    47    53        
    43    66        
    76    15        
    24    32        
    63    90        
     3    4         
    92    76        
    70    35        
     2    29        
    13    67        
    62    35        
    56    41        
     9    62        
    27    81        
     7    57        
    86    42        
    26    42        
   100    71        
    33    45        
    70    11        
    66    7         
    88    19        
    12    64        
    95    52        
    85    5         
    52    48        
    83    97        
    95    35        
    35    86        
    18    68        
    44    76        
    20    69        
    32    90        
    28    89        
    29    22        
    41    100       
    49    3         
    32    46        
    23    44        
    83    2         
    69    54        
     3    98        
    58    55        
    17    37        
   100    49        
    27    7         
    49    24        
    77    90        
    60    78        
    46    63        
   100    67        
    63    36        
    37    78        
    42    52        
    15    65        
    89    71        
     3    40        
    89    81        
    41    44        
    76    24        
    38    70        
    15    22        
    96    50        
    85    59        
    61    3         
     4    55        
    21    71        
    53    58        
    28    53        
    32    56        
     8    23        
    88    2         
    15    28        
    62    62        
    86    32        
    67    49        
    58    23        
    19    55        
    13    47        
    70    61        
    84    6         
    10    69        
    75    1         
    44    31        
    28    84        
    90    22        
    74    20        
    65    95        
    29    80        
    28    73        
    47    55        
    55    74        
    68    85        
    19    53        
    23    48        
    49    63        
    33    22        
    65    25        
    74    41        
    78    19        
    85    97        
    13    42        
    27    79        
    14    63        
    28    77        
    85    57        
     9    81        
    82    44        
     7    61        
    87    25        
    53    94        
    60    60        
    39    89        
    91    42        
     2    82        
    55    20        
    54    100       
    69    74        
    33    46        
    66    17        
    16    54        
     2    92        
    19    94        
    23    43        
    16    91        
    70    25        
    37    55        
    10    24        
    18    46        
    79    33        
    54    54        
    33    8         
    53    34        
    97    15        
    63    41        
    87    14        
    73    3         
    97    41        
    10    81        
    87    96        
    56    11        
    50    2         
    64    95        
    42    50        
     2    83        
     4    61        
    26    32        
    29    2         
    36    16        
    11    3         
    93    30        
    21    55        
    53    20        
    52    30        
    86    85        
    24    48        
    31    30        
    50    66        
    63    44        
    99    7         
    66    61        
    59    100       
    35    56        
    11    89        
    80    89        
    32    27        
    99    47        
    86    69        
    30    55        
    14    59        
    79    74        
    28    44        
    20    30        
    87    88        
    78    73        
    45    55        
    91    91        
    18    25        
     1    46        
    56    49        
    80    91        
   100    32        
    17    10        
    59    13        
    46    20        
     6    52        
    66    96        
    44    74        
    69    54        
    10    78        
    60    13        
    52    20        
    23    46        
    32    83        
    29    37        
    22    63        
    42    99        
    34    99        
    32    35        
    83    44        
    69    98        
    80    65        
    49    9         
    41    8         
    55    89        
    47    41        
    37    56        
    16    22        
    41    27        
    73    40        
    21    24        
     2    26        
    82    34        
    37    6         
    43    90        
    33    57        
    11    41        
    32    42        
    89    26        
   100    83        
    23    46        
    17    40        
    46    92        
    72    71        
    82    35        
    41    9         
    63    23        
    25    37        
    59    7         
    97    5         
     6    64        
    95    1         
    85    8         
    63    32        
    35    42        
    86    10        
    89    22        
    74    72        
    49    57        
    35    72        
    77    69        
    78    9         
     8    62        
    75    93        
    56    17        
    26    39        
    90    10        
    39    23        
    81    38        
    30    61        
    62    55        
    74    3         
    85    1         
    92    40        
    13    27        
    28    57        
    81    75        
    72    7         
    15    22        
    68    99        
    14    54        
     5    82        
    51    92        
    50    37        
    31    78        
    20    100       
    78    39        
    87    98        
     6    41        
    77    69        
    51    69        
    77    9         
    49    81        
    76    53        
    86    13        
    34    94        
    43    71        
    11    93        
    19    64        
    71    61        
    94    100       
    98    89        
    35    51        
    31    75        
    70    94        
    85    45        
     3    65        
    79    65        
    87    15        
    78    69        
    17    29        
    36    21        
    88    62        
    31    50        
    37    40        
    78    68        
    94    20        
    93    81        
    75    43        
    26    48        
    26    55        
     5    93        
    98    86        
    11    14        
    69    10        
    50    81        
    37    86        
    13    48        
    13    97        
     5    24        
