Weight    Value     
    64    63        
    61    10        
    98    46        
    92    28        
    48    54        
    13    67        
     1    66        
    80    40        
    71    33        
    23    94        
    77    21        
    77    13        
    79    78        
    27    98        
    27    54        
    22    13        
    87    80        
    46    2         
    30    77        
    61    18        
    98    49        
    62    91        
     3    61        
    30    34        
    71    100       
    37    72        
    71    16        
    89    91        
    48    97        
    89    16        
    78    56        
    77    34        
    59    31        
    67    95        
     9    54        
    36    96        
    17    36        
    42    10        
     1    15        
    55    58        
    52    4         
    43    16        
    92    63        
    13    27        
    14    1         
    70    37        
    94    4         
    39    49        
    27    70        
    28    29        
     5    80        
    98    90        
    19    2         
    74    44        
    62    17        
    39    28        
    79    63        
    38    81        
    70    64        
     2    11        
     6    77        
    12    11        
    60    49        
    40    68        
    89    98        
    50    74        
    31    95        
    47    46        
    68    2         
    79    39        
   100    6         
    45    12        
    90    91        
    98    27        
    50    39        
    56    45        
    92    40        
    29    29        
    58    7         
    37    95        
    68    78        
    66    18        
    98    13        
    57    30        
    65    47        
    29    13        
    21    93        
    65    45        
    67    20        
    15    92        
    10    53        
    71    95        
     3    25        
    81    16        
    31    63        
    27    95        
    90    58        
    62    7         
    70    21        
    28    99        
